pH,TDS,Turbidity,Safe
7.895469246,290.4238384,4.2369473,1
7.947485786,403.0418101,3.70085384,1
10.02615916,489.8516004,4.182277582,0
6.48819324,442.5457745,4.592073571,0
5.869736755,342.1963466,4.689315048,0
5.30414266,468.9450148,4.165723664,0
7.533614823,274.6605966,3.462763987,1
4.077607725,505.7093717,2.758658531,0
7.086168401,432.28527,3.416539753,1
6.271012171,382.9515048,5.303581361,0
7.957768344,465.2166206,3.450745892,1
8.875642278,363.1685384,4.006991559,0
6.613709118,504.0505391,3.539771111,1
7.735705022,481.7719343,2.148611536,1
9.925041328,437.9090052,4.703803489,0
9.00258311,500.6373262,4.904837415,0
5.095766465,439.6480512,4.35219347,0
8.594677108,473.6624528,4.754072499,0
7.083779061,360.0604774,3.887680685,1
7.682872498,448.2425267,3.778606788,1
6.419772474,327.2702387,3.095233157,0
4.443238899,397.0214276,3.268324836,0
6.978664262,433.3816667,4.766943236,1
6.623613566,525.5987875,2.915165951,1
4.814135621,566.339294,5.190851805,0
5.779673705,373.4272355,4.656377233,0
6.937818783,469.4869612,3.724089564,1
7.436782609,386.4133315,3.727663719,1
4.723312573,533.7958508,3.917586695,0
9.380658051,490.9097122,4.034349047,0
7.810144933,353.1964755,4.033773709,1
9.436637164,417.1670729,4.41111744,0
9.406325753,368.8154286,3.097277957,0
6.321259315,420.5341718,4.501457204,0
4.705356496,313.7019343,3.437450134,0
8.896418988,254.3932756,3.700945733,0
6.581878202,587.3950117,4.201662864,1
6.755145902,434.6554586,5.162729749,1
9.445129838,356.4591369,3.875165247,0
9.024845037,395.3417753,3.985250506,0
6.80011909,399.2713589,3.8549399,1
7.174135163,477.3433686,3.939895657,1
7.657991237,472.2589937,2.437296288,1
8.322986672,438.8657751,4.052135728,1
5.934279093,380.1972,5.217895024,0
9.802720782,481.1956735,2.764633881,0
6.101955231,415.0087369,3.53559633,0
4.997770601,416.5889058,3.404632906,0
4.815766791,415.6072778,4.375223811,0
6.548020558,515.386742,3.611860372,1
6.618010906,482.3300548,4.437695749,1
7.788054733,487.9083272,3.368757217,1
5.191834327,399.4836212,3.859800939,0
5.626339528,332.7375865,1.943318777,0
6.869638941,344.7679244,4.726702454,1
9.058628424,277.9700697,3.65213447,0
7.291888325,507.4454883,5.328712788,1
7.275908774,434.7812671,5.062297798,1
6.512737124,579.2203941,4.612963629,1
7.207886781,251.0208987,3.762741072,1
5.418503763,484.1229389,4.506539591,0
8.075494508,341.3885767,3.682919645,1
8.923980608,358.7817362,4.15558319,0
6.428866313,475.3413507,4.184783372,0
6.960603502,580.8977004,4.978820188,1
5.873675846,289.5424601,5.412090885,0
6.79546901,538.4954044,5.163088154,1
10.04102797,259.6368031,3.807562606,0
5.862641233,435.5004571,5.50742094,0
7.292141805,512.2773101,4.466912564,1
8.062805643,272.4405583,4.471842,1
7.82197094,327.2480786,3.532958335,1
6.593764313,387.6295723,2.346578095,1
9.161088613,419.2584481,4.888061137,0
4.642953052,499.8441671,3.982867293,0
7.798453676,427.4959312,4.107267203,1
5.564342491,336.8314548,2.285987849,0
7.886591227,424.2928308,4.589983508,1
7.443189014,469.4130904,2.664832796,1
3.657123133,306.872526,3.31462973,0
9.597191857,445.2414569,5.145152871,0
6.964225943,327.786642,3.990437572,1
7.672909523,448.8460364,4.268227482,1
6.737004072,493.4654399,4.063170289,1
10.02622381,395.2610634,3.736228471,0
5.583832998,316.5358711,3.870156921,0
7.952929116,399.4773578,5.260014766,1
5.500186641,407.7322172,4.178478951,0
7.543700466,425.627814,3.630536578,1
6.848331559,517.5128415,4.396604556,1
5.910251729,324.5098409,3.660922908,0
8.716820334,465.6164808,3.205128767,0
6.016889136,382.197839,4.422269233,0
9.567822726,497.7903905,4.197919055,0
4.296247024,363.5063443,4.163328982,0
3.551579177,288.3651931,3.96599397,0
8.529669348,358.8887676,3.776040837,0
8.065339036,400.9043497,3.756391707,1
9.158445163,543.3917436,4.525236731,0
8.848586283,514.421722,4.014681858,0
9.495456382,474.772519,4.168541279,0
8.052893916,462.4024491,3.634844542,1
6.425873866,595.3292635,3.731936503,0
7.757269666,405.9001841,4.165432286,1
7.748654706,366.4917287,2.511810493,1
5.117390303,513.8775793,3.937188442,0
7.481535362,588.8527329,4.262065437,1
5.374222585,434.7477154,3.642778438,0
7.063646976,469.8356255,3.39586624,1
6.876451043,415.2117346,4.545340927,1
4.812433652,523.6001756,3.0209959,0
4.993530734,429.544773,3.153809337,0
4.788861062,470.0787053,2.896852186,0
4.037287739,410.2432475,3.04504857,0
6.505872509,291.1484489,4.497528597,1
6.779773967,414.030709,2.729104523,1
6.952511674,428.5532485,4.105495485,1
5.628406919,439.624998,5.050683115,0
5.966000489,522.79373,4.177139266,0
6.319431545,411.2950246,2.653126688,0
8.02724787,503.1706154,3.480640837,1
8.882684452,351.1860809,3.827920867,0
5.991283475,469.7613277,4.840562301,0
10.27244427,347.9830783,3.179884727,0
6.105140135,491.7653132,3.103089844,0
9.443358884,409.2207765,3.486646409,0
6.887414371,370.1781664,4.564188355,1
6.512900833,425.2268617,4.404040365,1
4.912557262,385.1146477,4.897372508,0
9.739561949,592.659021,2.568079877,0
5.541979019,451.143481,3.672975983,0
6.448931033,475.5735624,3.622195522,0
5.477912295,376.4565931,3.774256121,0
8.544708662,315.5499,2.31815248,0
7.378597016,416.6241889,3.215219463,1
6.66400305,358.7258688,2.227727884,1
6.775582812,277.3845373,4.333636278,1
8.736371211,512.4287308,3.802116117,0
7.146976296,417.8435527,4.025762216,1
7.745499128,297.61154,4.043334781,1
6.259651603,481.4808283,4.213405262,0
8.59639118,497.3217528,3.519884366,0
5.767349597,500.2459518,3.896090487,0
7.088940642,401.6697906,5.661104287,1
8.029181613,359.5690815,4.388551012,1
4.725785565,388.7165795,3.15633142,0
8.19576536,346.5532064,3.218709224,1
6.443753668,539.4668769,4.498684931,0
7.039094321,463.389256,4.366031351,1
6.945224092,439.6493286,4.823082014,1
5.742110407,373.3456926,3.323069564,0
5.59662785,479.5012786,5.235111121,0
7.350378987,468.5628288,3.663922184,1
6.262798867,629.2812475,4.012517558,0
9.927023723,392.4214958,4.051733473,0
5.381407519,353.0303803,4.364066935,0
4.961352728,360.1791773,3.902837834,0
6.457097525,392.7040818,2.637364885,0
6.53936951,563.4347751,4.527364378,1
6.252410005,427.1239484,2.722908161,0
7.967344823,391.0688736,4.069358772,1
7.60952119,374.4853324,3.145842903,1
6.887863944,365.7202915,5.454487652,1
9.879071258,327.623881,4.218831154,0
7.63876177,341.2911163,4.496626599,1
6.961891686,372.5352428,3.44672846,1
8.060609624,574.5550413,3.60090567,1
7.240271791,477.1639068,3.832597167,1
7.486779709,495.9669861,5.048833995,1
8.410460643,608.8468563,2.977359946,0
6.143921454,516.2840829,3.476213304,0
6.09617989,475.9091299,5.142471132,0
6.384824009,389.4059776,4.144998518,0
9.462666017,390.6572261,2.850183766,0
7.868147086,416.2388206,4.315898406,1
5.873157137,323.2989152,5.120887965,0
6.529304448,509.4068215,3.361088407,1
5.152203722,454.5202956,4.689842818,0
7.858662779,321.7483389,3.422470521,1
7.704410252,291.3537014,3.031364369,1
6.728004386,442.7680497,4.410697353,1
10.46450248,554.1205362,4.956358408,0
9.11278625,417.6312019,4.567087634,0
8.079808358,415.6294838,3.611057441,1
7.078659419,466.0443992,3.696640141,1
8.043889299,468.5913885,3.15994937,1
7.040244978,420.2912301,3.993409764,1
5.483974109,498.665928,4.063613621,0
8.53440688,557.4860613,2.544733701,0
7.266594535,485.6472319,3.357439471,1
6.256651148,385.6143207,4.181050753,0
7.240351006,375.7807164,3.7829719,1
8.692115322,331.5701387,2.283475159,0
8.639540978,435.1080173,4.192932215,0
7.179864149,510.4144025,3.878447314,1
7.163999223,294.6365314,3.354322267,1
8.926113143,410.8561139,2.752134121,0
6.353110302,489.7034439,2.856175487,0
6.681553568,379.7251816,2.956748075,1
5.445325981,290.8894718,3.946989523,0
7.539881893,439.9444081,4.53159367,1
7.76414261,507.1786883,4.105178268,1
8.237142634,369.5555133,4.939109441,1
5.679234115,326.1153502,2.339572736,0
7.417570368,430.4872957,4.671557881,1
4.775983439,426.2311291,4.382161619,0
7.86509497,335.1976082,4.795025555,1
5.903465715,378.0855456,4.587086719,0
7.705711006,401.1408786,3.861956077,1
7.815121778,384.308673,3.096163272,1
6.139743032,463.7417162,3.841221574,0
5.041405028,551.4762022,4.543685761,0
8.675192692,412.7094234,4.97857536,0
7.689358004,559.8178471,4.978556095,1
8.570129121,388.467266,4.604404561,0
5.671762326,278.6390387,3.268693507,0
6.624806428,309.2546197,2.840910756,1
6.541007699,469.795375,2.355934229,1
6.340809022,440.2834456,5.45860969,0
5.980357227,558.8155667,4.247240149,0
7.60597883,487.9972616,3.242849929,1
6.109073312,447.0280768,4.881101138,0
5.842933081,383.2077748,4.143224936,0
5.36754649,492.4115244,4.267189591,0
5.345887147,330.067379,2.950360943,0
5.386307352,514.7629185,3.662563465,0
9.919478426,498.6508327,4.11748804,0
7.121458435,497.0192345,3.774600526,1
9.418296122,425.7520176,4.604633154,0
7.457164758,479.7919747,4.106543052,1
5.27222756,409.4509977,5.068556189,0
7.29195704,328.4331103,4.237643894,1
7.803833221,521.1405236,2.907387267,1
6.844350911,502.9910878,2.877062813,1
5.608745232,543.5287986,4.644211645,0
5.701154645,441.5295473,3.403136416,0
5.412762498,356.8622871,4.091205593,0
7.025305942,518.3755726,5.989542791,1
5.770620969,350.1780398,4.240821478,0
8.437875983,402.593602,3.815468994,1
5.907078269,349.1860855,4.296479909,0
6.89834133,607.0265423,5.371284156,0
10.25273437,429.8278189,3.290372492,0
8.206499938,444.8543208,4.22512093,1
7.286167388,401.204271,4.686019916,1
8.809296432,265.2511986,3.87905374,0
6.641500687,459.8765496,4.694311216,1
6.145148361,395.4070038,4.600885755,0
5.906441765,351.1612132,4.807495942,0
5.38984593,406.8063023,3.577674921,0
5.006562979,307.6913606,3.665205612,0
6.5036382,440.938978,4.963184434,1
9.606858896,532.3366593,4.405351952,0
8.742229882,604.6312629,2.842393186,0
8.394397412,446.4507253,2.83390143,1
3.841205038,390.955033,3.635634543,0
4.301373467,314.9650897,3.067626699,0
9.895889213,458.6772315,3.813428659,0
4.319440673,386.6228625,3.241972101,0
8.313773604,296.074382,4.290071516,1
3.410359671,465.5592858,3.721765769,0
7.510943342,327.4756504,3.342409054,1
6.978290868,369.5912891,4.931878079,1
9.049166054,517.9357855,2.814000683,0
9.515140615,384.6848754,3.812887661,0
6.14524294,503.6640851,4.09093992,0
7.494212047,473.7513016,5.492704955,1
7.091885817,358.04413,5.116406585,1
6.624572528,393.8896156,4.333720849,1
6.032188903,402.0199449,3.423831621,0
6.344095425,347.353336,3.843484016,0
7.459144859,358.7176769,3.841052038,1
6.361666803,333.6237939,3.681765114,0
9.011588754,520.1113582,2.897292531,0
7.466213132,588.5667127,2.081845657,1
5.739816333,529.0525353,2.722571208,0
7.785106673,347.9574985,4.904613044,1
7.138586781,421.4853341,3.272429761,1
8.805177745,380.2401927,5.176205069,0
8.003031485,348.0414889,3.137551206,1
7.157337864,424.461152,5.183622115,1
6.427365144,369.9693333,3.568823153,0
6.124672271,431.3047161,3.631006709,0
8.457901037,557.4218785,4.914276095,1
5.772197394,411.1144853,3.078985839,0
6.760790523,403.189913,4.905490433,1
7.895045662,352.3536228,3.084431233,1
8.576739928,593.3962245,3.916114733,0
5.596729818,313.8787713,3.826158191,0
8.145632374,418.4535907,4.307547519,1
6.665495068,367.9979774,3.928495392,1
6.499067998,498.1423861,4.355880125,0
9.735889388,552.3087055,5.573210319,0
9.268281895,557.4956847,5.255703382,0
10.0596421,567.0272739,3.81878876,0
6.475885399,482.8424352,4.306112971,0
6.096128348,308.7297975,2.956447478,0
6.297845634,449.1471915,1.680554025,0
5.284096687,517.4321968,4.800963142,0
8.26994471,532.5727848,3.076479932,1
6.03956779,484.5857912,4.206835504,0
6.243279004,386.0553312,3.472839213,0
9.836030547,535.3023515,4.219118008,0
8.719764332,370.27088,2.887725422,0
7.009601694,441.0026117,3.121944851,1
6.492638846,442.3374864,4.667770161,0
7.814524321,394.1809845,2.901699556,1
9.652562935,530.2214099,3.192569799,0
8.00754122,423.4208384,5.25017306,1
7.386837696,325.3877076,4.816705216,1
5.497580321,444.6785788,5.060114929,0
6.057828114,519.0316251,3.292249267,0
6.284984822,469.983324,5.703287743,0
9.043095632,435.783775,4.008499341,0
8.523062079,437.7279153,5.112376365,0
4.02905271,485.6972741,4.179656267,0
6.412707042,549.4149828,5.014144884,0
6.27629499,352.456041,4.342759277,0
7.648877928,534.1302716,4.953533863,1
5.548181849,422.8175562,3.945460484,0
5.433242117,350.0049779,3.675717673,0
8.33951161,374.0728447,4.827704247,1
6.715719088,397.3996598,2.443008006,1
6.09801209,325.5375394,4.590616741,0
6.576845323,498.9319114,3.771313518,1
4.68109876,422.039495,4.125750333,0
8.15121531,589.5522114,3.523980506,1
5.669689566,380.4599178,3.592133424,0
6.6249436,532.8851961,3.546696372,1
8.273643584,430.8368251,3.331583735,1
10.50966863,381.3573499,3.505078834,0
5.171434094,306.3559039,2.949431503,0
6.9641983,341.7601979,2.395683182,1
6.548796521,445.037456,4.197305125,1
6.555439264,481.3070516,3.79204017,1
9.042582866,534.8009878,4.34844014,0
5.970578908,517.4274709,5.013281168,0
6.273805782,419.788898,4.510405324,0
6.604007989,358.0562635,4.458966913,1
7.14394199,415.5775127,3.792840307,1
8.11644657,361.9016284,2.934697437,1
7.66518778,389.6832344,2.707129162,1
5.555352973,326.0262267,4.536145914,0
7.543931305,365.0915872,3.703191306,1
7.340170884,444.1166326,3.919139533,1
10.01518906,399.6054465,3.846547549,0
6.334162776,456.3084539,4.038829793,0
9.616095703,492.2064736,2.946643668,0
8.1414299,447.9877914,4.350921901,1
8.165714933,370.7714128,3.92011648,1
4.931958445,471.3686946,5.045982883,0
8.977821883,436.9917521,3.199999614,0
7.372611796,329.7408617,3.182521119,1
9.107330383,399.1317179,4.492139949,0
4.168248461,377.6820972,2.804525051,0
7.806909023,256.3025585,5.127910988,1
6.704635426,496.1051876,3.42217862,1
3.623165848,459.0835568,5.370205549,0
7.966856824,403.3605959,5.115430914,1
4.595607756,434.7197472,3.978919807,0
3.994497606,518.043369,3.379147351,0
8.907987118,379.222873,4.641258532,0
5.898726325,494.1291249,4.899815187,0
9.514626622,444.4534957,2.64503637,0
8.842463656,441.2980876,4.576728706,0
7.721078494,529.7465288,3.22395109,1
9.089421098,511.1615111,4.430116016,0
7.725192099,412.9967634,4.163325537,1
6.729191489,530.7996675,5.112254251,1
5.085429353,350.8943618,3.96173067,0
9.545270521,480.0130563,4.983903465,0
6.246264054,457.8115556,5.044454778,0
7.376449105,334.9373022,5.767354666,1
7.802426084,543.3479764,4.363529881,1
8.596767212,400.7061608,3.238692933,0
6.436444496,566.7547238,3.415851385,0
7.333477726,417.2873151,4.772662701,1
6.144759038,375.5473617,3.082080496,0
4.725997721,506.7568077,3.644606541,0
5.393345914,463.4784249,4.633854752,0
5.624819996,492.1354893,4.355489162,0
5.768868031,355.5464203,3.092626379,0
5.251353815,278.7532038,4.072252323,0
7.688785916,503.1392455,3.918673156,1
3.681076271,353.9275932,3.893070403,0
4.897691707,596.8258366,3.894464333,0
5.842754601,584.6043537,4.490392564,0
5.038316783,410.6485372,3.913695776,0
9.961247709,379.2701222,3.246583097,0
7.417502637,343.7640131,3.391240667,1
5.099932005,526.4259147,5.159301249,0
3.633162829,596.0763683,3.349571655,0
8.860450854,509.7678877,4.677713327,0
10.13793229,420.124761,3.872018159,0
9.90081484,631.3042163,2.39500211,0
10.2684305,467.2180731,4.304689262,0
6.017260924,348.5273214,4.427712282,0
7.110845138,471.1317159,5.712792127,1
6.350290472,387.1304829,4.265233067,0
8.12934172,587.022609,4.822043564,1
10.25281623,357.2589703,4.559836219,0
5.462355935,428.7869759,4.486180492,0
9.239440361,528.1216265,3.471971127,0
7.071314192,332.8553213,4.29372656,1
7.115895266,352.6021464,3.736020547,1
8.238996597,350.1166859,3.089923749,1
6.446252032,573.7237623,4.976957858,0
6.161779499,319.4340326,4.003547029,0
6.772156538,385.8128184,3.827255961,1
7.06184552,491.750448,3.958248504,1
4.638250259,303.2563429,4.124537825,0
7.678966889,517.4283917,3.718981559,1
8.137713063,370.903807,2.743866752,1
7.481397772,323.7440125,4.03997629,1
8.082148076,376.2411457,3.373484514,1
6.323942073,610.7675763,3.575010576,0
5.403883692,483.3342093,3.189942299,0
5.699873488,365.8353748,2.416402098,0
7.694264582,481.1367926,5.707192759,1
8.581428694,282.6874021,3.388448222,0
9.888941401,607.9158477,3.75016351,0
3.426450368,517.4961422,5.97805394,0
8.370440489,351.5203926,3.21063541,1
8.390500572,499.0950566,4.150359337,1
7.58194468,564.6475642,4.833345774,1
9.850054687,360.8142964,4.521836127,0
5.225683807,377.68222,3.695746982,0
9.663653196,445.9284558,4.741944305,0
7.935607325,407.3750465,3.619650737,1
8.92814208,384.920771,4.111101546,0
6.920342899,472.6937251,3.266213475,1
10.53809844,426.4307202,3.823092676,0
5.729302912,471.9253772,3.556394812,0
5.335688809,501.4468337,3.921976381,0
8.589202344,435.3765288,4.041445671,0
8.473649323,445.0612309,3.487816307,1
7.591346094,515.0599861,4.515150114,1
8.137767883,405.8180972,5.003825786,1
5.35256598,349.9821732,4.779187009,0
7.998090254,337.219448,2.626546784,1
7.442536475,494.0943388,2.191138422,1
5.140800528,302.1907102,4.192257449,0
6.947915534,380.1452048,3.685079273,1
9.622105987,456.2621506,3.975571849,0
5.361211666,425.0167571,1.81252894,0
4.909518983,491.4317215,3.785506644,0
6.376408434,399.9548334,5.404045773,0
3.94012546,299.2797747,3.478004808,0
6.916825973,561.6131872,4.598622246,1
9.146557556,506.899657,3.210881939,0
10.26841472,332.6127519,5.199864588,0
8.787667941,467.171822,3.489945595,0
7.36876853,370.7121076,3.813881276,1
9.352719753,414.0150432,3.398264165,0
9.393148442,406.466385,4.665681059,0
7.296572875,457.5548272,4.679168643,1
8.900864697,472.0429124,4.51875067,0
8.107244313,389.2927845,4.688271256,1
7.804368874,424.2570133,4.075556975,1
4.666148131,376.6698777,4.556863752,0
4.739548767,593.5617556,2.942348225,0
9.869231935,449.3677902,4.736849577,0
9.485832873,431.4754122,3.221129819,0
6.435722717,447.937123,4.925339107,0
6.365497241,477.9837557,5.125416576,0
5.226942,466.64942,2.25955,0
4.594209,404.460052,4.91791,0
6.784133,434.0487022,5.035823,1
6.400256,543.1817477,4.561494,0
6.839416,405.3406089,2.854527,1
6.901863,357.9863126,4.047907,1
7.888843574,512.8947171,3.630523985,1
5.527633483,418.6787647,4.59113705,0
6.492403122,509.5464193,4.383394692,0
6.684699737,357.1196221,4.030659831,1
6.223677775,421.4642532,3.919575057,0
4.758648347,300.0624866,4.405508764,0
7.440825031,481.8534152,2.496342612,1
8.054885744,397.996103,3.514097775,1
7.061830972,652.5375916,4.299018587,0
7.611609817,370.0113729,2.87326121,1
4.691438315,392.7674528,2.730792274,0
8.064170137,447.484361,3.246077223,1
4.292966858,374.4638479,2.804923583,0
7.865756954,426.0805224,3.738618343,1
9.085637102,458.0441705,2.544020276,0
6.592442508,476.8444591,3.060827354,1
7.032818726,397.2367839,3.633373289,1
8.990317234,382.7579656,4.494544339,0
8.561218924,534.5408375,2.813888599,0
6.739157692,471.0626399,5.214484016,1
6.492627157,574.5406715,3.378778493,0
6.753128353,372.551219,5.102516757,1
5.039373609,436.6259903,4.957419783,0
8.296344056,294.8468015,5.400810789,1
5.455599352,430.3956004,4.476348715,0
7.918183321,503.7324283,4.764193594,1
5.01804587,389.2152949,5.035153707,0
6.495435285,470.4296759,3.39047054,0
8.159666704,393.293539,2.957194849,1
7.685396843,431.9724289,4.179187128,1
7.762020745,438.1321035,3.256301329,1
7.207931097,453.2113664,4.705561884,1
6.9870415,418.2698062,4.475161103,1
4.692196563,411.4244826,4.009006062,0
4.059431468,492.200309,4.330321564,0
8.389945659,308.7925146,3.569717312,1
10.69553249,451.5571777,4.154845328,0
6.791696907,428.9503288,2.817391374,1
9.953952112,411.7955029,4.052905069,0
4.489783796,488.1413127,3.776225631,0
8.020869103,418.9724666,3.442121236,1
5.090035332,442.5305081,4.83886228,0
6.466874709,460.528736,3.408168792,0
6.702496216,335.3782115,4.267952934,1
5.766204134,463.9651678,4.47201817,0
6.571099217,403.9899202,4.555949236,1
8.509220049,458.9239774,2.519891581,0
5.953981878,344.1549646,4.071916487,0
5.403196492,474.9374696,3.871463111,0
5.596929951,391.2387137,3.506764606,0
10.63290961,411.2169781,3.722454851,0
4.916819229,552.9075895,3.836703239,0
7.183095932,302.9404332,3.806539439,1
5.923441415,327.967343,4.10736363,0
7.377036504,436.2780756,4.531658688,1
7.833495881,377.8579586,5.580829963,1
4.745764371,412.0389222,3.699146259,0
9.055825785,538.2037134,5.45691283,0
5.492155983,430.332754,3.294129366,0
4.487517479,278.4832659,2.765722248,0
7.027185659,436.2905517,5.35304334,1
10.20064451,417.7389884,5.174719759,0
6.784279329,355.2069685,4.045547056,1
8.080415244,369.4276991,4.070824292,1
7.344975869,452.7276913,3.418763195,1
5.923739955,412.7065583,3.884460371,0
8.285395275,324.6479088,5.438487907,1
5.949518764,388.0658567,4.072197622,0
8.274069059,545.310659,2.575423028,1
8.238878989,323.0010364,2.784712797,1
5.791154373,399.5637857,4.104834817,0
6.153368957,441.8810049,4.030337485,0
7.303051906,616.1752428,4.14486994,0
7.5926723,466.2454797,3.341426728,1
6.784116115,289.6605864,4.072186608,1
5.606856131,363.1293527,4.070966098,0
5.088213197,527.9125436,2.600618679,0
6.954907217,506.5314139,3.169714976,1
8.983811794,492.0978246,2.445673388,0
9.519659984,551.1452068,3.994556136,0
4.700392724,467.1107616,3.481943696,0
10.38613293,547.4668312,4.921340625,0
5.746529194,524.0797055,3.808372006,0
6.848805453,405.7615711,3.130044763,1
8.861701557,388.7526203,3.579107242,0
4.252985001,461.3562275,3.58830042,0
6.729829904,631.8220782,4.724321913,0
5.924540482,402.6192862,4.224342509,0
6.783888468,538.1749592,3.250022229,1
7.390896679,426.186565,4.325131645,1
6.470151959,312.3885856,3.125391112,0
6.93039147,453.9184895,3.699796036,1
9.302441188,370.0851534,3.675985498,0
7.421997644,269.0136348,3.603609581,1
6.583064856,449.2599756,3.772858553,1
6.204429354,428.4448225,4.106807505,0
9.066628054,338.2142583,4.055421251,0
4.713116701,341.7747779,3.923356036,0
10.58138599,507.476249,2.966945651,0
7.574261237,498.2669594,3.686758983,1
6.138785152,328.7009606,4.677289618,0
5.276323544,509.9568642,3.883029041,0
6.776879088,439.3128533,3.322065007,1
7.239415921,413.2921835,4.531825295,1
6.552279123,315.4790704,3.443385019,1
8.408766231,379.6753668,2.372791477,1
7.986398706,401.7393087,4.814779191,1
7.366915284,332.5981262,3.051316563,1
6.062738419,441.9451807,4.369454697,0
7.8564711,505.5423487,4.534681098,1
5.15839641,340.6483926,4.645852435,0
6.39908051,380.0968101,2.620538023,0
7.394255556,512.4544684,4.263192772,1
4.443850856,315.5361054,5.038118946,0
8.247148271,355.6986132,3.94196926,1
4.902158989,564.183824,3.499048523,0
6.86313625,437.5386924,4.319777195,1
6.66953238,475.1429562,1.964863097,1
7.595669984,431.4573372,3.403393177,1
